"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.401857130E-1,6.100000069E-2,1.220000014E-1,-8.100000024E-2,1.586379540E-1
7.452002490E-1,4.800000042E-2,1.080000028E-1,-1.220000014E-1,1.698587677E-1
7.502147130E-1,4.800000042E-2,8.100000024E-2,-1.080000028E-1,1.432794496E-1
7.552294030E-1,6.100000069E-2,8.100000024E-2,-6.700000167E-2,1.215360043E-1
7.602438670E-1,6.100000069E-2,9.499999881E-2,-8.100000024E-2,1.389496308E-1
7.652583930E-1,6.100000069E-2,1.220000014E-1,-9.499999881E-2,1.662227427E-1
7.702728570E-1,6.100000069E-2,1.220000014E-1,-1.220000014E-1,1.830000021E-1
7.752873180E-1,3.400000185E-2,9.499999881E-2,-1.080000028E-1,1.478005430E-1
7.803017660E-1,4.800000042E-2,8.100000024E-2,-1.220000014E-1,1.541071070E-1
7.853164560E-1,3.400000185E-2,9.499999881E-2,-1.350000054E-1,1.685408002E-1
7.903309970E-1,3.400000185E-2,1.080000028E-1,-1.350000054E-1,1.761959199E-1
7.953454670E-1,4.699999839E-2,1.080000028E-1,-1.220000014E-1,1.695788925E-1
8.003601580E-1,6.100000069E-2,9.499999881E-2,-9.499999881E-2,1.475499903E-1
8.053743900E-1,3.400000185E-2,8.100000024E-2,-8.100000024E-2,1.194905863E-1
8.103890960E-1,4.699999839E-2,8.100000024E-2,-9.499999881E-2,1.333978998E-1
8.154035590E-1,4.699999839E-2,1.080000028E-1,-1.220000014E-1,1.695788925E-1
8.204180810E-1,4.699999839E-2,9.499999881E-2,-1.220000014E-1,1.616106431E-1
8.254327730E-1,4.800000042E-2,9.499999881E-2,-1.080000028E-1,1.516344302E-1
8.304472370E-1,4.699999839E-2,9.499999881E-2,-9.499999881E-2,1.423341118E-1
8.354617780E-1,3.400000185E-2,9.499999881E-2,-8.100000024E-2,1.293908804E-1
8.404762420E-1,6.100000069E-2,8.100000024E-2,-9.499999881E-2,1.389496308E-1
8.454907030E-1,6.100000069E-2,9.499999881E-2,-8.100000024E-2,1.389496308E-1
8.505051600E-1,7.500000298E-2,8.100000024E-2,-6.700000167E-2,1.291317184E-1
8.555198500E-1,7.500000298E-2,8.100000024E-2,-5.400000140E-2,1.228901975E-1
8.605343190E-1,6.100000069E-2,9.499999881E-2,-3.999999911E-2,1.197747878E-1
8.655488550E-1,4.800000042E-2,8.100000024E-2,-3.999999911E-2,1.022985826E-1
8.705633190E-1,6.100000069E-2,8.100000024E-2,-3.999999911E-2,1.090045873E-1
8.755780240E-1,6.100000069E-2,9.499999881E-2,-3.999999911E-2,1.197747878E-1
8.805924870E-1,6.100000069E-2,9.499999881E-2,-1.300000027E-2,1.136441810E-1
8.856069490E-1,4.800000042E-2,8.100000024E-2,1.300000027E-2,9.504735707E-2
8.906214750E-1,4.800000042E-2,8.100000024E-2,1.300000027E-2,9.504735707E-2
8.956359390E-1,4.800000042E-2,9.499999881E-2,-1.300000027E-2,1.072287267E-1
9.006506290E-1,6.100000069E-2,9.499999881E-2,-2.600000054E-2,1.158533551E-1
9.056650930E-1,4.800000042E-2,9.499999881E-2,0.000000000E0,1.064377744E-1
9.106795540E-1,6.100000069E-2,9.499999881E-2,0.000000000E0,1.128981836E-1
9.156940820E-1,4.800000042E-2,9.499999881E-2,1.300000027E-2,1.072287267E-1
9.207087740E-1,6.100000069E-2,9.499999881E-2,2.700000070E-2,1.160818672E-1
9.257232040E-1,6.100000069E-2,9.499999881E-2,0.000000000E0,1.128981836E-1
9.307376650E-1,6.100000069E-2,1.080000028E-1,-2.600000054E-2,1.267320035E-1
9.357521270E-1,6.100000069E-2,1.080000028E-1,-2.600000054E-2,1.267320035E-1
9.407666340E-1,3.400000185E-2,1.080000028E-1,0.000000000E0,1.132254421E-1
9.457810980E-1,6.100000069E-2,9.499999881E-2,0.000000000E0,1.128981836E-1
9.507957880E-1,6.100000069E-2,1.089999974E-1,-1.300000027E-2,1.255826402E-1
9.558102570E-1,4.800000042E-2,1.089999974E-1,-2.600000054E-2,1.219056992E-1
9.608247930E-1,4.800000042E-2,1.089999974E-1,-2.600000054E-2,1.219056992E-1
9.658392570E-1,4.800000042E-2,9.499999881E-2,-1.300000027E-2,1.072287267E-1
9.708539610E-1,4.800000042E-2,9.499999881E-2,-2.600000054E-2,1.095673302E-1
9.758684250E-1,6.100000069E-2,9.499999881E-2,-2.600000054E-2,1.158533551E-1
9.808829610E-1,6.100000069E-2,9.499999881E-2,-3.999999911E-2,1.197747878E-1
9.858974250E-1,6.100000069E-2,9.499999881E-2,-1.300000027E-2,1.136441810E-1
9.909118860E-1,4.800000042E-2,9.499999881E-2,0.000000000E0,1.064377744E-1
9.959265870E-1,4.800000042E-2,9.499999881E-2,0.000000000E0,1.064377744E-1
1.000941050E0,6.100000069E-2,9.499999881E-2,-1.300000027E-2,1.136441810E-1
1.005955577E0,6.100000069E-2,9.499999881E-2,-1.300000027E-2,1.136441810E-1
1.010970040E0,6.100000069E-2,1.089999974E-1,0.000000000E0,1.249079642E-1
1.015984730E0,4.800000042E-2,9.499999881E-2,2.700000070E-2,1.098089243E-1
1.020999194E0,4.800000042E-2,8.200000226E-2,4.100000113E-2,1.034843008E-1
1.026013730E0,4.800000042E-2,8.200000226E-2,2.700000070E-2,9.877753008E-2
1.031028194E0,6.100000069E-2,9.499999881E-2,4.100000113E-2,1.201124471E-1
1.036042666E0,4.800000042E-2,9.499999881E-2,6.800000370E-2,1.263051872E-1
1.041057356E0,3.400000185E-2,9.499999881E-2,6.800000370E-2,1.216758004E-1
1.046071814E0,4.800000042E-2,8.200000226E-2,6.800000370E-2,1.168417773E-1
1.051086276E0,6.100000069E-2,9.499999881E-2,6.800000370E-2,1.317952972E-1
1.056100812E0,6.100000069E-2,9.499999881E-2,8.200000226E-2,1.395349427E-1
1.061115281E0,4.800000042E-2,9.499999881E-2,1.089999974E-1,1.523482827E-1
1.066129971E0,6.199999899E-2,9.499999881E-2,1.360000074E-1,1.771016704E-1
1.071144435E0,6.199999899E-2,9.499999881E-2,1.360000074E-1,1.771016704E-1
1.076158985E0,6.199999899E-2,9.499999881E-2,1.360000074E-1,1.771016704E-1
1.081173449E0,6.199999899E-2,9.499999881E-2,1.360000074E-1,1.771016704E-1
1.086188139E0,4.800000042E-2,1.089999974E-1,1.770000011E-1,2.133401037E-1
1.091202593E0,6.199999899E-2,8.200000226E-2,1.770000011E-1,2.046875683E-1
1.096217129E0,4.800000042E-2,9.499999881E-2,1.770000011E-1,2.065381325E-1
1.101231613E0,7.500000298E-2,9.499999881E-2,1.630000025E-1,2.030246316E-1
1.106246303E0,6.100000069E-2,9.499999881E-2,1.770000011E-1,2.099404683E-1
1.111260767E0,4.800000042E-2,9.499999881E-2,2.039999962E-1,2.300978015E-1
1.116275218E0,6.199999899E-2,9.499999881E-2,2.039999962E-1,2.334202178E-1
1.121289680E0,6.199999899E-2,8.200000226E-2,1.899999976E-1,2.160277745E-1
1.126304230E0,7.500000298E-2,9.499999881E-2,1.770000011E-1,2.144271452E-1
1.131318694E0,7.500000298E-2,9.499999881E-2,1.899999976E-1,2.252776050E-1
1.136333412E0,6.199999899E-2,9.499999881E-2,2.179999948E-1,2.457498675E-1
1.141347876E0,6.199999899E-2,9.499999881E-2,2.179999948E-1,2.457498675E-1
1.146362426E0,6.199999899E-2,9.499999881E-2,1.899999976E-1,2.212894004E-1
1.151376890E0,6.199999899E-2,9.499999881E-2,2.039999962E-1,2.334202178E-1
1.156391580E0,6.199999899E-2,9.499999881E-2,2.450000048E-1,2.699888923E-1
1.161406044E0,4.800000042E-2,9.499999881E-2,2.590000033E-1,2.800178593E-1
1.166420580E0,4.800000042E-2,9.499999881E-2,2.310000062E-1,2.543422943E-1
1.171435030E0,6.199999899E-2,9.499999881E-2,2.039999962E-1,2.334202178E-1
1.176449720E0,6.100000069E-2,8.100000024E-2,1.899999976E-1,2.153648050E-1
1.181464178E0,6.100000069E-2,9.499999881E-2,2.310000062E-1,2.571128210E-1
1.186478715E0,4.800000042E-2,1.089999974E-1,2.720000148E-1,2.969326649E-1
1.191493178E0,6.199999899E-2,9.499999881E-2,2.860000134E-1,3.076767903E-1
1.196507640E0,6.100000069E-2,1.089999974E-1,2.450000048E-1,2.750036397E-1
1.201522330E0,6.100000069E-2,9.499999881E-2,2.039999962E-1,2.331565961E-1
1.206536871E0,4.800000042E-2,1.089999974E-1,2.310000062E-1,2.598961376E-1
1.211551342E0,6.100000069E-2,1.089999974E-1,2.720000148E-1,2.993092173E-1
1.216566033E0,4.800000042E-2,1.089999974E-1,2.720000148E-1,2.969326649E-1
1.221580265E0,6.100000069E-2,9.499999881E-2,2.590000033E-1,2.825367261E-1
1.226594956E0,6.100000069E-2,1.089999974E-1,2.590000033E-1,2.875465201E-1
1.231609419E0,6.100000069E-2,9.499999881E-2,2.590000033E-1,2.825367261E-1
1.236623961E0,4.800000042E-2,9.499999881E-2,2.720000148E-1,2.920839055E-1
1.241638424E0,3.400000185E-2,9.499999881E-2,2.590000033E-1,2.779604318E-1
1.246653124E0,4.800000042E-2,9.499999881E-2,2.450000048E-1,2.671216991E-1
1.251667587E0,6.199999899E-2,9.499999881E-2,2.450000048E-1,2.699888923E-1
1.256682139E0,4.800000042E-2,1.089999974E-1,2.860000134E-1,3.098080165E-1
1.261696602E0,3.400000185E-2,9.499999881E-2,3.129999936E-1,3.288616668E-1
1.266711293E0,2.099999972E-2,8.100000024E-2,3.129999936E-1,3.239922777E-1
1.271725756E0,4.800000042E-2,9.499999881E-2,2.860000134E-1,3.051639026E-1
1.276740293E0,6.100000069E-2,9.499999881E-2,2.720000148E-1,2.944995890E-1
1.281754751E0,6.100000069E-2,9.499999881E-2,3.129999936E-1,3.327386299E-1
1.286769213E0,3.400000185E-2,9.499999881E-2,3.400000036E-1,3.546561748E-1
1.291783903E0,6.100000069E-2,9.499999881E-2,3.269999921E-1,3.459407387E-1
1.296798433E0,5.799999833E-2,8.799999952E-2,3.129999936E-1,3.302680664E-1
1.301812895E0,7.100000232E-2,8.799999952E-2,3.950000107E-1,4.108649519E-1
1.306827585E0,5.700000003E-2,8.799999952E-2,5.720000267E-1,5.815299051E-1
1.311842064E0,4.399999976E-2,1.150000021E-1,5.720000267E-1,5.851025816E-1
1.316856525E0,6.599999964E-2,6.899999827E-2,4.900000095E-1,4.992163950E-1
1.321871062E0,6.599999964E-2,6.899999827E-2,3.129999936E-1,3.272399665E-1
1.326885529E0,7.900000364E-2,6.899999827E-2,2.039999962E-1,2.293861347E-1
1.331900220E0,5.200000107E-2,9.600000083E-2,4.900000095E-1,5.020159456E-1
1.336914751E0,3.700000048E-2,9.000000358E-2,7.630000114E-1,7.691800947E-1
1.341929213E0,5.000000075E-2,6.199999899E-2,7.630000114E-1,7.671460209E-1
1.346943674E0,6.400000304E-2,4.800000042E-2,5.860000253E-1,5.914355671E-1
1.351958370E0,9.099999815E-2,6.199999899E-2,3.540000021E-1,3.707303617E-1
1.356972833E0,4.699999839E-2,8.299999684E-2,3.540000021E-1,3.666251503E-1
1.361987370E0,1.999999955E-2,8.299999684E-2,5.720000267E-1,5.783364332E-1
1.367001813E0,3.299999982E-2,6.899999827E-2,7.080000043E-1,7.121193761E-1
1.372016504E0,5.999999866E-2,5.600000173E-2,6.669999957E-1,6.720305010E-1
1.377030982E0,7.000000030E-2,6.499999762E-2,5.450000167E-1,5.533082486E-1
1.382045519E0,4.199999943E-2,9.200000018E-2,5.040000081E-1,5.140466984E-1
1.387059982E0,2.800000086E-2,9.200000018E-2,5.180000067E-1,5.268510292E-1
